Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
2022-05-24 02:11:36 UTC,Staking Income,ATOM,0.025531,USD,11.26,0.29,0.29,0,
2022-05-21 20:19:39 UTC,Receive,ADA,0.0844,USD,0.53,0.04,0.04,0,Received 0.0844 ADA from Coinbase Rewards
2022-05-19 20:40:55 UTC,Receive,ADA,0.086715,USD,0.53,0.05,0.05,0,Received 0.086715 ADA from Coinbase Rewards
2022-05-17 07:02:09 UTC,Staking Income,ATOM,0.032419,USD,11.75,0.38,0.38,0,
2022-05-11 20:47:42 UTC,Receive,ADA,0.088047,USD,0.51,0.04,0.04,0,Received 0.088047 ADA from Coinbase Rewards
2022-05-10 19:50:34 UTC,Send,BTC,0.00016469,USD,31304.23,5.16,5.16,0,Sent 0.00016469 BTC to 
2022-05-06 20:36:23 UTC,Receive,ADA,0.08321,USD,0.78,0.06,0.06,0,Received 0.08321 ADA from Coinbase Rewards
2022-05-04 00:19:28 UTC,Staking Income,ATOM,0.047757,USD,17.62,0.84,0.84,0,
2022-05-03 08:19:37 UTC,Receive,ADA,0.08354,USD,0.78,0.07,0.07,0,Received 0.08354 ADA from Coinbase Rewards
2022-05-03 00:24:59 UTC,Staking Income,ATOM,0.00534,USD,17.70,0.09,0.09,0,
2022-04-26 23:14:50 UTC,Receive,ADA,0.077287,USD,0.82,0.06,0.06,0,Received 0.077287 ADA from Coinbase Rewards
2022-04-24 14:48:19 UTC,Receive,ADA,0.082264,USD,0.89,0.07,0.07,0,Received 0.082264 ADA from Coinbase Rewards
2022-04-23 19:57:48 UTC,Receive,ADA,0.081779,USD,0.89,0.07,0.07,0,Received 0.081779 ADA from Coinbase Rewards
2022-04-22 22:36:34 UTC,Receive,ADA,0.079893,USD,0.90,0.07,0.07,0,Received 0.079893 ADA from Coinbase Rewards
2022-04-15 14:58:33 UTC,Staking Income,ATOM,0.015984,USD,24.10,0.39,0.39,0,
2022-04-08 15:02:08 UTC,Staking Income,ATOM,0.011348,USD,28.69,0.33,0.33,0,
2022-04-06 14:18:18 UTC,Convert,ETH,0.37060772,USD,3242.63,1201.74,1202.71,0.97,Converted 0.37060772 ETH to 0.37060772 ETH2
2022-04-04 22:28:04 UTC,Staking Income,ATOM,0.023044,USD,30.87,0.71,0.71,0,
2022-03-30 16:39:04 UTC,Staking Income,XTZ,0.155576,USD,3.87,0.60,0.60,0,
2022-03-30 14:11:43 UTC,Convert,ETH,0.59427858,USD,3362.61,1998.33,2000.00,1.67,Converted 0.59427858 ETH to 0.59427858 ETH2
2022-03-27 20:45:49 UTC,Staking Income,XTZ,0.157972,USD,3.83,0.60,0.60,0,
2022-03-25 14:50:18 UTC,Staking Income,ATOM,0.013224,USD,29.53,0.39,0.39,0,
2022-03-24 19:57:21 UTC,Staking Income,XTZ,0.145543,USD,3.53,0.51,0.51,0,
2022-03-21 13:40:32 UTC,Staking Income,XTZ,0.150608,USD,3.29,0.49,0.49,0,
2022-03-19 09:20:32 UTC,Staking Income,XTZ,0.145917,USD,3.21,0.47,0.47,0,
2022-03-19 05:23:52 UTC,Staking Income,ATOM,0.01404,USD,29.00,0.41,0.41,0,
2022-03-15 16:55:30 UTC,Staking Income,XTZ,0.141803,USD,2.97,0.42,0.42,0,
2022-03-12 15:51:01 UTC,Staking Income,XTZ,0.142642,USD,3.07,0.44,0.44,0,
2022-03-11 16:05:38 UTC,Staking Income,ATOM,0.02625,USD,27.55,0.72,0.72,0,
2022-03-09 15:36:37 UTC,Staking Income,XTZ,0.145218,USD,3.15,0.46,0.46,0,
2022-03-06 20:09:09 UTC,Staking Income,XTZ,0.14158,USD,3.02,0.43,0.43,0,
2022-03-04 20:25:55 UTC,Staking Income,ATOM,0.033297,USD,30.89,1.03,1.03,0,
2022-03-03 21:45:41 UTC,Staking Income,XTZ,0.158601,USD,3.37,0.53,0.53,0,
2022-02-28 21:50:59 UTC,Staking Income,XTZ,0.153374,USD,3.40,0.52,0.52,0,
2022-02-26 12:49:42 UTC,Staking Income,ATOM,0.012487,USD,28.51,0.36,0.36,0,
2022-02-25 13:37:59 UTC,Staking Income,XTZ,0.160804,USD,3.19,0.51,0.51,0,
2022-02-22 21:43:20 UTC,Staking Income,XTZ,0.15731,USD,3.01,0.47,0.47,0,
2022-02-21 23:04:45 UTC,Staking Income,XTZ,0.335311,USD,3.09,1.03,1.03,0,
2022-02-18 15:33:13 UTC,Staking Income,ATOM,0.01223,USD,27.59,0.34,0.34,0,
2022-02-14 17:35:23 UTC,Staking Income,XTZ,0.173693,USD,3.95,0.69,0.69,0,
2022-02-11 17:18:35 UTC,Staking Income,XTZ,0.176424,USD,4.33,0.76,0.76,0,
2022-02-11 14:17:49 UTC,Staking Income,ATOM,0.022572,USD,29.15,0.66,0.66,0,
2022-02-08 13:28:25 UTC,Staking Income,XTZ,0.178056,USD,4.30,0.76,0.76,0,
2022-02-07 19:39:42 UTC,Staking Income,ATOM,0.022529,USD,32.10,0.72,0.72,0,
2022-02-05 16:34:19 UTC,Staking Income,XTZ,0.180992,USD,3.99,0.72,0.72,0,
2022-02-05 00:25:38 UTC,Send,BTC,0.00024486,USD,41683.27,10.21,10.21,0,Sent 0.00024486 BTC to 
2022-02-02 17:06:36 UTC,Staking Income,XTZ,0.175366,USD,3.64,0.64,0.64,0,
2022-02-02 00:13:41 UTC,Buy,ETH,0.17519419,USD,2839.71,497.50,500.00,2.5,Bought 0.17519419 ETH for 500 USD
2022-02-02 00:12:53 UTC,Buy,BTC,0.01262631,USD,39401.85,497.50,500.00,2.5,Bought 0.01262631 BTC for 500 USD
2022-01-30 18:43:53 UTC,Staking Income,XTZ,0.162331,USD,3.34,0.54,0.54,0,
2022-01-28 17:01:03 UTC,Staking Income,ATOM,0.024382,USD,28.96,0.71,0.71,0,
2022-01-27 19:49:07 UTC,Staking Income,XTZ,0.159334,USD,2.89,0.46,0.46,0,
2022-01-24 19:42:22 UTC,Staking Income,XTZ,0.122243,USD,2.80,0.34,0.34,0,
2022-01-22 08:23:19 UTC,Staking Income,ATOM,0.034957,USD,29.83,1.04,1.04,0,
2022-01-21 16:20:13 UTC,Staking Income,XTZ,0.120526,USD,3.56,0.43,0.43,0,
2022-01-18 13:09:42 UTC,Staking Income,XTZ,0.16919,USD,3.99,0.67,0.67,0,
2022-01-15 17:01:27 UTC,Staking Income,XTZ,0.165032,USD,4.30,0.71,0.71,0,
2022-01-14 14:01:31 UTC,Buy,ETH,0.15281733,USD,3223.85,492.66,500.00,7.34,Bought 0.15281733 ETH for 500 USD
2022-01-14 14:00:17 UTC,Buy,BTC,0.01162842,USD,42366.89,492.66,500.00,7.34,Bought 0.01162842 BTC for 500 USD
2022-01-14 13:59:56 UTC,Buy,BTC,0.01162161,USD,42391.72,492.66,500.00,7.34,Bought 0.01162161 BTC for 500 USD
2022-01-14 12:26:51 UTC,Staking Income,ATOM,0.009595,USD,37.18,0.36,0.36,0,
2022-01-12 17:53:42 UTC,Staking Income,XTZ,0.166477,USD,4.37,0.73,0.73,0,
2022-01-11 03:33:34 UTC,Staking Income,XTZ,0.163583,USD,4.09,0.67,0.67,0,
2022-01-07 16:53:10 UTC,Staking Income,ATOM,0.022317,USD,43.13,0.96,0.96,0,
2022-01-06 11:44:57 UTC,Staking Income,XTZ,0.409702,USD,4.30,1.76,1.76,0,
2022-01-01 13:28:20 UTC,Staking Income,XTZ,0.240306,USD,4.62,1.11,1.11,0,
2021-12-31 16:30:34 UTC,Staking Income,ATOM,0.022744,USD,32.96,0.75,0.75,0,
2021-12-28 15:20:00 UTC,Staking Income,XTZ,0.168248,USD,4.70,0.79,0.79,0,
2021-12-25 15:03:58 UTC,Staking Income,XTZ,0.139672,USD,4.62,0.64,0.64,0,
2021-12-24 16:09:31 UTC,Staking Income,ATOM,0.021,USD,28.68,0.60,0.60,0,
2021-12-23 19:31:19 UTC,Staking Income,XTZ,0.169871,USD,4.74,0.80,0.80,0,
2021-12-21 15:42:32 UTC,Buy,BTC,0.02022508,USD,48717.73,985.32,1000.00,14.68,Bought 0.02022508 BTC for 1000 USD
2021-12-21 15:41:47 UTC,Buy,ETH,0.24684349,USD,3991.68,985.32,1000.00,14.68,Bought 0.24684349 ETH for 1000 USD
2021-12-21 08:14:20 UTC,Staking Income,XTZ,0.154609,USD,4.21,0.65,0.65,0,
2021-12-19 03:23:59 UTC,Staking Income,XTZ,0.157988,USD,4.29,0.68,0.68,0,
2021-12-18 23:50:34 UTC,Staking Income,ATOM,0.011038,USD,23.22,0.26,0.26,0,
2021-12-15 20:08:31 UTC,Buy,BTC,0.0099951,USD,49290.15,492.66,500.00,7.34,Bought 0.0099951 BTC for 500 USD
2021-12-14 15:36:21 UTC,Staking Income,XTZ,0.120488,USD,4.43,0.53,0.53,0,
2021-12-11 18:13:11 UTC,Staking Income,XTZ,0.13242,USD,4.52,0.60,0.60,0,
2021-12-08 15:58:00 UTC,Staking Income,XTZ,0.131203,USD,5.54,0.73,0.73,0,
2021-12-06 13:13:43 UTC,Staking Income,XTZ,0.135518,USD,3.98,0.54,0.54,0,
2021-12-04 12:13:09 UTC,Staking Income,XTZ,0.135951,USD,4.04,0.55,0.55,0,
2021-12-03 11:55:41 UTC,Staking Income,ATOM,0.020281,USD,30.76,0.62,0.62,0,
